epoch;loss;mse;val_loss;val_mse
52;4.825180326406553e-07;4.825180326406553e-07;4.413820136051072e-07;4.413820136051072e-07
53;4.6212306870074826e-07;4.6212306870074826e-07;4.371415514015098e-07;4.371415514015098e-07
54;4.459414242319326e-07;4.459414242319326e-07;4.2842626157835184e-07;4.2842626157835184e-07
55;4.2912427034025313e-07;4.2912427034025313e-07;3.967495558754308e-07;3.967495558754308e-07
56;4.141418230574345e-07;4.141418230574345e-07;4.1746972101464053e-07;4.1746972101464053e-07
57;4.002197897534643e-07;4.002197897534643e-07;3.663310792489938e-07;3.663310792489938e-07
58;3.8539792512892745e-07;3.8539792512892745e-07;3.6284180282564193e-07;3.6284180282564193e-07
59;3.708759095388814e-07;3.708759095388814e-07;3.5072275750280824e-07;3.5072275750280824e-07
60;3.587855701425724e-07;3.587855701425724e-07;3.3332983662148763e-07;3.3332983662148763e-07
61;3.519438394050667e-07;3.519438394050667e-07;3.21152157312099e-07;3.21152157312099e-07
62;3.368759564637003e-07;3.368759564637003e-07;3.212251726836257e-07;3.212251726836257e-07
63;3.278096301073674e-07;3.278096301073674e-07;3.127235004285467e-07;3.127235004285467e-07
64;3.2074734690468176e-07;3.2074734690468176e-07;2.903891527239466e-07;2.903891527239466e-07
65;3.12425243009784e-07;3.12425243009784e-07;2.999204866682703e-07;2.999204866682703e-07
66;3.045262246814673e-07;3.045262246814673e-07;2.7637690891424427e-07;2.7637690891424427e-07
67;2.9647753763129003e-07;2.9647753763129003e-07;2.779410408493277e-07;2.779410408493277e-07
68;2.883514582663338e-07;2.883514582663338e-07;2.6503803951527516e-07;2.6503803951527516e-07
69;2.791942677049519e-07;2.791942677049519e-07;2.6012722287305223e-07;2.6012722287305223e-07
70;2.764539885902195e-07;2.764539885902195e-07;2.570325534634321e-07;2.570325534634321e-07
71;2.7006575464838534e-07;2.7006575464838534e-07;2.562975964792713e-07;2.562975964792713e-07
72;2.6468271130397625e-07;2.6468271130397625e-07;2.5843422690741136e-07;2.5843422690741136e-07
73;2.58129318808642e-07;2.58129318808642e-07;2.482473746567848e-07;2.482473746567848e-07
74;2.569672972185799e-07;2.569672972185799e-07;2.3712225072358706e-07;2.3712225072358706e-07
75;2.5155026150969206e-07;2.5155026150969206e-07;2.3292682271858212e-07;2.3292682271858212e-07
76;2.4608698367956094e-07;2.4608698367956094e-07;2.3392730952309648e-07;2.3392730952309648e-07
77;2.4406830334555707e-07;2.4406830334555707e-07;2.338879738772448e-07;2.338879738772448e-07
78;2.412836295206944e-07;2.412836295206944e-07;2.2105704999830778e-07;2.2105704999830778e-07
79;2.3455642406133848e-07;2.3455642406133848e-07;2.2186370074450679e-07;2.2186370074450679e-07
80;2.3416052385982766e-07;2.3416052385982766e-07;2.2313464853596088e-07;2.2313464853596088e-07
81;2.3051485698033503e-07;2.3051485698033503e-07;2.1724602561334905e-07;2.1724602561334905e-07
82;2.2664056587018422e-07;2.2664056587018422e-07;2.2301742319541518e-07;2.2301742319541518e-07
83;2.2441204805545567e-07;2.2441204805545567e-07;2.095998752338346e-07;2.095998752338346e-07
84;2.2128546106614522e-07;2.2128546106614522e-07;2.1647007031333487e-07;2.1647007031333487e-07
85;2.1981347231303516e-07;2.1981347231303516e-07;2.0498808339652896e-07;2.0498808339652896e-07
86;2.159503509346905e-07;2.159503509346905e-07;2.0963349811609078e-07;2.0963349811609078e-07
87;2.1595137411623e-07;2.1595137411623e-07;2.0932547784013877e-07;2.0932547784013877e-07
88;2.118847959309278e-07;2.118847959309278e-07;1.9791735894614249e-07;1.9791735894614249e-07
89;2.1103120673160447e-07;2.1103120673160447e-07;2.047435714302992e-07;2.047435714302992e-07
90;2.102708549500676e-07;2.102708549500676e-07;2.0131858491367893e-07;2.0131858491367893e-07
91;2.08865856166085e-07;2.08865856166085e-07;1.96015420783624e-07;1.96015420783624e-07
92;2.077434402281142e-07;2.077434402281142e-07;1.9551713137389015e-07;1.9551713137389015e-07
93;2.0396952038481686e-07;2.0396952038481686e-07;1.9205508294817264e-07;1.9205508294817264e-07
94;2.0479434681419662e-07;2.0479434681419662e-07;1.9745154133943288e-07;1.9745154133943288e-07
95;2.0314909932039882e-07;2.0314909932039882e-07;1.969528398149123e-07;1.969528398149123e-07
96;2.0287123447815247e-07;2.0287123447815247e-07;1.9568670950320666e-07;1.9568670950320666e-07
97;2.0081343166111765e-07;2.0081343166111765e-07;1.8909018706381175e-07;1.8909018706381175e-07
98;2.0026286051688658e-07;2.0026286051688658e-07;1.911620302053052e-07;1.911620302053052e-07
99;1.991027005487922e-07;1.991027005487922e-07;1.9280996355064417e-07;1.9280996355064417e-07
100;1.973684646827678e-07;1.973684646827678e-07;1.8994280992501444e-07;1.8994280992501444e-07
101;1.95878200770494e-07;1.95878200770494e-07;2.0141908407822484e-07;2.0141908407822484e-07
102;1.9546102691947453e-07;1.9546102691947453e-07;2.0521893873137742e-07;2.0521893873137742e-07
103;1.9437337073213712e-07;1.9437337073213712e-07;2.2195528970314626e-07;2.2195528970314626e-07
104;1.9352550850726402e-07;1.9352550850726402e-07;1.9270133577720117e-07;1.9270133577720117e-07
105;1.9519734451023396e-07;1.9519734451023396e-07;1.8468608686816879e-07;1.8468608686816879e-07
106;1.92062799442283e-07;1.92062799442283e-07;1.8560625392183283e-07;1.8560625392183283e-07
107;1.9188057365226996e-07;1.9188057365226996e-07;1.831478897429406e-07;1.831478897429406e-07
108;1.920890753126514e-07;1.920890753126514e-07;1.8495788367545174e-07;1.8495788367545174e-07
109;1.8966433401601535e-07;1.8966433401601535e-07;1.866210368461907e-07;1.866210368461907e-07
110;1.9145731755543238e-07;1.9145731755543238e-07;1.9201452516881545e-07;1.9201452516881545e-07
111;1.8819847014128754e-07;1.8819847014128754e-07;1.9564511433145526e-07;1.9564511433145526e-07
112;1.8923283562344295e-07;1.8923283562344295e-07;1.8577998162072618e-07;1.8577998162072618e-07
113;1.8834346349194675e-07;1.8834346349194675e-07;1.9376952309357875e-07;1.9376952309357875e-07
114;1.8836375659248006e-07;1.8836375659248006e-07;1.8443451210714557e-07;1.8443451210714557e-07
115;1.892986887241932e-07;1.892986887241932e-07;1.8995945083588595e-07;1.8995945083588595e-07
116;1.8617602393078414e-07;1.8617602393078414e-07;1.7909457028508768e-07;1.7909457028508768e-07
117;1.8795498135659727e-07;1.8795498135659727e-07;1.8320025674256613e-07;1.8320025674256613e-07
118;1.8512589861074957e-07;1.8512589861074957e-07;1.7903103355365602e-07;1.7903103355365602e-07
119;1.852377238265035e-07;1.852377238265035e-07;1.8697129178235627e-07;1.8697129178235627e-07
120;1.866264653926919e-07;1.866264653926919e-07;1.7923093764693476e-07;1.7923093764693476e-07
121;1.8597749829041277e-07;1.8597749829041277e-07;1.9208901846923254e-07;1.9208901846923254e-07
122;1.8582643690479017e-07;1.8582643690479017e-07;1.9711058030225104e-07;1.9711058030225104e-07
123;1.8401890145014477e-07;1.8401890145014477e-07;1.827914530849739e-07;1.827914530849739e-07
124;1.831898543969146e-07;1.831898543969146e-07;1.857291493934099e-07;1.857291493934099e-07
125;1.856738975902772e-07;1.856738975902772e-07;1.8431668991070183e-07;1.8431668991070183e-07
126;1.8360381659476843e-07;1.8360381659476843e-07;1.8441316740336333e-07;1.8441316740336333e-07
127;1.8293893333520828e-07;1.8293893333520828e-07;1.7905428251197009e-07;1.7905428251197009e-07
128;1.842898456061448e-07;1.842898456061448e-07;2.0223593821810937e-07;2.0223593821810937e-07
129;1.8264550760704878e-07;1.8264550760704878e-07;1.7998166867982945e-07;1.7998166867982945e-07
130;1.8313542682335537e-07;1.8313542682335537e-07;1.9301373299640545e-07;1.9301373299640545e-07
131;1.8371639498582226e-07;1.8371639498582226e-07;1.8393818379536242e-07;1.8393818379536242e-07
132;1.8186118211360736e-07;1.8186118211360736e-07;1.819379775724883e-07;1.819379775724883e-07
133;1.8182511496434017e-07;1.8182511496434017e-07;1.798760820292955e-07;1.798760820292955e-07
134;1.8161354375934025e-07;1.8161354375934025e-07;1.8193406958744163e-07;1.8193406958744163e-07
135;1.840807328790106e-07;1.840807328790106e-07;1.7694459586437006e-07;1.7694459586437006e-07
136;1.814056957982757e-07;1.814056957982757e-07;1.8096871201578324e-07;1.8096871201578324e-07
137;1.8092991638241074e-07;1.8092991638241074e-07;1.839726593289015e-07;1.839726593289015e-07
138;1.8151180825043411e-07;1.8151180825043411e-07;1.7908530480781337e-07;1.7908530480781337e-07
139;1.8164745085869072e-07;1.8164745085869072e-07;1.8452654160228121e-07;1.8452654160228121e-07
140;1.8160045556214754e-07;1.8160045556214754e-07;1.8169887994190503e-07;1.8169887994190503e-07
141;1.8324303141525888e-07;1.8324303141525888e-07;1.80112024850132e-07;1.80112024850132e-07
142;1.8066791085402656e-07;1.8066791085402656e-07;1.7948742936368944e-07;1.7948742936368944e-07
143;1.8097921383741777e-07;1.8097921383741777e-07;1.8926888856185542e-07;1.8926888856185542e-07
144;1.8052728023576492e-07;1.8052728023576492e-07;1.8062497986193193e-07;1.8062497986193193e-07
145;1.801912929977334e-07;1.801912929977334e-07;1.8360225340074976e-07;1.8360225340074976e-07
146;1.8059863293728995e-07;1.8059863293728995e-07;1.7633777815717622e-07;1.7633777815717622e-07
147;1.794277579847403e-07;1.794277579847403e-07;1.9171483245372656e-07;1.9171483245372656e-07
148;1.8197867746039265e-07;1.8197867746039265e-07;1.798391622287454e-07;1.798391622287454e-07
149;1.8106044308296987e-07;1.8106044308296987e-07;1.8205773244517331e-07;1.8205773244517331e-07
150;1.8177611593728216e-07;1.8177611593728216e-07;1.823972297643195e-07;1.823972297643195e-07
151;1.7959010278900678e-07;1.7959010278900678e-07;1.9275991292033723e-07;1.9275991292033723e-07
152;1.8070083740440168e-07;1.8070083740440168e-07;1.9462777345324866e-07;1.9462777345324866e-07
153;1.806083957944793e-07;1.806083957944793e-07;1.861392462387812e-07;1.861392462387812e-07
